UMAP_1,UMAP_2,cluster
18.103502,7.3919296,0
11.81591,-7.1487627,1
-1.562126,14.908358,2
11.074712,15.910992,3
10.636169,14.7528305,3
7.204018,1.5104599,4
-2.418257,7.067346,5
-2.4179251,7.068232,5
19.279514,6.158717,4
7.753344,17.33637,6
-1.2682871,16.806213,2
14.343329,-10.3235445,1
10.682306,14.9660015,3
14.875991,3.7252624,4
-2.918918,3.8151011,7
14.369247,8.022552,0
-2.193351,23.198753,2
3.304424,17.28693,8
11.663184,12.580411,3
19.2612,5.4884315,4
11.735482,-9.556859,1
7.222797,8.471506,0
10.17064,7.5624757,0
-6.1322455,14.650499,9
7.1242533,8.7242155,0
11.590306,-1.9338363,10
-8.925544,11.1818495,11
3.063029,18.114126,8
15.012598,3.7445652,4
12.107252,8.154016,0
10.135122,3.1112547,4
14.000462,-5.4885373,1
10.619491,14.788338,3
15.560389,-0.9221567,10
7.2546134,17.935204,6
18.063833,-4.644816,12
16.170559,3.9460626,4
-3.076612,3.9324117,7
7.349637,17.809267,6
7.527712,17.590221,6
11.568976,-9.43149,1
6.6535487,19.951838,6
1.4591784,7.304915,13
-1.3530557,15.790705,2
18.424469,-4.4127054,12
4.6270704,22.345835,6
11.725307,12.569398,3
13.200239,-1.450738,10
10.616469,7.6960745,0
18.741188,-4.1709743,12
16.030045,3.9238796,4
7.1495504,1.4293041,4
0.10976261,0.045324244,7
19.190338,6.27993,4
12.84805,18.97581,3
17.931023,-4.740302,12
8.50058,2.505415,4
12.542784,-9.949951,1
2.2586734,11.03019,13
13.0640745,19.771538,3
-1.2189295,18.037724,2
6.9739513,1.0770264,4
7.1453276,18.081161,6
-2.1529965,13.788704,2
13.213143,-10.10583,1
6.7516484,-5.2435856,14
11.333164,7.9034863,0
8.245238,2.3967237,4
-10.3695545,8.235761,15
8.948974,7.3546433,0
-3.0731728,3.9272969,7
6.730836,-5.5395823,14
3.8427477,22.099047,6
11.840714,-1.8411558,10
18.681015,-4.2229424,12
4.6228523,22.343712,6
-2.4205987,3.5190153,7
-10.30325,8.194335,15
7.608858,7.9709234,0
17.666325,7.6337676,0
-1.3002218,16.358791,2
13.3313055,3.5678263,4
4.76293,22.325472,6
11.331767,-9.208282,1
11.198283,-7.9179087,1
14.202813,-5.3631954,1
-3.6016872,-0.88109475,7
14.10596,13.361016,16
-11.409284,9.048165,15
16.11075,3.9447508,4
12.643815,-1.617779,10
13.079972,19.92373,3
-9.131591,0.3813669,17
6.9104333,0.62291366,4
-9.391466,7.73554,15
-5.6509895,-0.86795163,7
12.635063,-1.6208692,10
12.121473,12.631901,3
10.635729,13.470703,3
19.18725,5.3871,4
0.57854766,1.3635956,7
12.897411,19.079235,3
-6.123255,-8.762906,18
-10.098235,8.075399,15
13.065668,8.103696,0
12.9605465,19.272903,3
-3.36474,4.2090235,7
1.3162941,7.129106,13
14.341593,13.4037075,16
3.9309485,22.159979,6
-2.9966223,3.8673556,7
2.0002935,11.388567,13
17.193708,12.696958,16
-5.7424784,-0.8729877,7
-1.3762913,15.596211,2
11.4378805,-1.988567,10
5.065475,22.240484,6
16.87921,-10.863224,1
6.9061484,0.5695772,4
-3.4216022,-10.654973,18
-0.9494153,-11.840147,19
-0.45228615,-0.32248166,7
-6.9151425,17.510447,9
-0.61663926,-0.39780924,7
7.3095975,-4.0143504,14
13.980577,-5.5006666,1
16.941404,-10.8869,1
-9.027732,11.104184,11
11.269047,-9.084057,1
6.903289,0.42091268,4
-1.1507488,-6.303798,20
11.5803795,16.807444,3
16.181412,-0.48216832,10
-1.8459985,14.311299,2
0.80538464,6.685282,13
12.962342,20.518156,3
-6.573476,-8.615527,18
13.699645,-10.213617,1
11.010609,15.805495,3
-2.183756,-0.83801293,7
14.482009,-10.351104,1
17.322115,12.547746,16
12.165229,17.722586,3
-8.7397,1.5914755,17
-1.4303503,21.901411,2
2.2610304,11.025956,13
9.2954645,2.855971,4
9.393062,2.8915863,4
12.970248,19.27607,3
-6.423061,-0.94301635,7
-1.2235106,-11.864235,19
-5.5902724,-9.054896,18
8.92692,2.6801772,4
7.397545,1.7362956,4
-1.1697605,20.067823,2
12.2742815,8.146733,0
14.766017,13.448078,16
13.488656,-1.368846,10
12.196806,8.180061,0
-3.447365,23.69661,2
7.130815,1.3862481,4
12.571138,-9.950603,1
11.645392,12.580678,3
6.8786426,18.652464,6
10.934566,15.60613,3
-0.93316245,-0.5568765,7
-2.7146108,-11.115406,18
0.5675478,0.58066297,7
2.4776382,8.949288,13
3.0896406,18.162148,8
-11.230178,8.868429,15
11.354735,-7.6587405,1
-2.5420883,-5.6607046,20
0.39514947,0.34231547,7
16.141127,8.017561,0
14.341094,-10.319124,1
-7.462652,-8.624042,18
8.038039,17.048048,6
8.039084,17.044813,6
-1.5321517,22.244223,2
-4.901234,-0.8211265,7
11.401077,-7.5977874,1
2.6003942,9.625127,13
-6.93502,17.480846,9
-0.8585873,-6.445139,20
17.198046,-4.9774895,12
14.148932,13.370405,16
-6.752817,-0.95096827,7
17.271923,11.882944,16
-1.7463192,3.2066908,7
18.146423,-4.6010604,12
11.909301,-7.0565553,1
0.9336959,-7.2536864,20
-4.3242784,-0.83597744,7
11.313216,-9.181749,1
12.416206,21.77611,3
12.745922,18.707958,3
8.038182,17.045563,6
-5.221135,-0.8295498,7
10.741051,13.248938,3
1.3276757,7.1400123,13
10.03518,3.0813255,4
7.459936,8.139024,0
-0.8128984,-11.82819,19
-7.141884,16.797707,9
-2.72428,-11.104049,18
1.401408,-7.5704274,20
6.9753036,0.30695197,4
17.38204,4.1972494,4
16.53282,7.999295,0
5.301191,22.094782,6
12.115013,-1.7679588,10
-5.619197,8.034455,5
17.343906,12.493054,16
7.7080455,-3.674086,14
-0.8187022,2.868803,7
-8.947898,-0.054968737,17
-1.8452253,14.310149,2
2.008802,-8.121618,20
-2.6215558,-5.636111,20
1.7482696,7.690822,13
7.136727,-6.799555,14
11.604611,16.829731,3
1.7536551,7.7004294,13
-3.4568288,23.690113,2
13.223937,-5.9729524,1
17.416056,-4.894556,12
15.403264,-10.531771,1
16.81161,12.937201,16
9.581085,2.9442573,4
7.784068,7.7929792,0
-3.7476714,-0.8774525,7
-4.6324797,-0.83987963,7
-7.6611214,-0.8164338,7
14.160946,13.378111,16
0.052429505,2.1547363,7
6.894645,0.5309846,4
7.019901,-6.5117393,14
-1.1608895,19.81572,2
0.045528628,-0.0054447567,7
-6.630076,-8.596545,18
8.457104,7.40021,0
-6.5008926,-0.95427215,7
-7.0054736,-8.545616,18
15.078453,13.459365,16
16.938963,4.1363263,4
-2.9938242,7.5741205,5
17.153877,-5.007453,12
1.2393774,7.05729,13
12.103642,12.628317,3
13.248985,-1.4397601,10
13.025153,3.5464926,4
-1.8748847,3.2576041,7
-9.129953,0.9641784,17
-4.537108,-0.8337937,7
12.956445,-1.5147896,10
-2.1526656,23.158745,2
16.710758,12.995751,16
12.311498,12.668005,3
-3.688046,-5.4277277,20
-4.081398,7.9215436,5
-3.2587647,-5.5535536,20
-11.322501,8.960656,15
7.478363,8.118448,0
10.906564,7.7787595,0
-2.4100454,7.061523,5
-5.994854,14.505348,9
6.4505787,20.717245,6
-1.8237033,14.350234,2
17.537245,7.6951923,0
11.72797,12.577857,3
15.755211,-0.8199478,10
17.677156,-4.8270698,12
-1.3284509,-11.853786,19
15.8126335,3.8734658,4
2.467615,10.571548,13
-3.8314676,-5.3566647,20
1.9274817,7.9401336,13
14.375043,-10.323881,1
-8.811969,7.5852084,15
10.491245,14.098127,3
7.7218156,17.37101,6
-5.1703377,8.043554,5
16.667936,-5.038589,12
-6.8916116,7.8064494,5
13.496586,-5.778511,1
-8.854599,7.576399,15
12.22388,-1.7316196,10
19.259987,5.4862556,4
10.312413,-2.4206905,10
-9.4087925,7.7451034,15
6.4165535,20.772001,6
6.808682,-5.883177,14
-6.712028,-8.568612,18
-1.3248369,16.297886,2
2.2901368,10.977189,13
11.470101,16.625132,3
7.280311,8.382377,0
-2.7295544,-11.098915,18
4.34859,22.316942,6
2.3985336,10.771541,13
3.2851927,17.331856,8
12.677229,-1.606215,10
11.574002,16.797054,3
2.3714538,8.658545,13
-8.031398,1.8711286,17
11.591073,-9.450821,1
7.3638425,1.7038867,4
-7.5044837,7.702489,5
9.044286,2.7397616,4
-6.073124,-8.783611,18
8.604344,7.3680677,0
12.205606,-1.7364507,10
14.682288,13.441876,16
-2.46867,23.421944,2
13.060862,20.018631,3
16.933718,12.859539,16
16.230183,8.016765,0
-9.131874,0.9588654,17
12.097919,17.620455,3
3.0859625,18.207382,8
13.445453,-5.81614,1
-11.736632,9.4268875,15
13.439602,-5.8164897,1
13.706928,-10.217752,1
12.015682,22.498575,3
-3.0730448,-0.89152145,7
10.4961195,14.089212,3
0.567304,0.57526606,7
-5.119856,8.045253,5
-3.371329,23.69001,2
0.6271075,1.1798548,7
13.070289,20.06226,3
-2.399362,-5.715928,20
-4.1370034,-5.184416,20
-3.1093647,-5.586575,20
3.085697,18.209833,8
-0.061820783,2.2792552,7
13.992763,-5.4925942,1
-9.129091,0.32271138,17
11.530755,-7.4419103,1
-5.8129296,8.019459,5
12.688666,-1.6030158,10
-1.2496811,3.0647762,7
9.24622,2.8306797,4
-8.969359,11.148523,11
-7.28903,-0.90132695,7
-2.0739832,-0.81501216,7
0.80428225,6.6877275,13
16.954796,-10.893051,1
9.142938,2.7878344,4
12.751034,21.075136,3
-1.8418006,3.2441895,7
16.269524,8.02035,0
13.439153,-5.8180904,1
11.38807,-7.6113963,1
0.4272483,1.6857495,7
12.453939,3.503118,4
12.858075,20.86303,3
-2.8245833,-0.8910495,7
14.989514,-1.1255647,10
16.179787,8.017989,0
-5.6416316,8.033915,5
-6.6345325,15.262934,9
-3.6906765,-10.453033,18
7.500349,8.089245,0
-0.51721436,-6.5950093,20
-3.8141217,-5.36621,20
11.3126745,7.894753,0
-1.1772562,18.920221,2
18.030087,-4.675907,12
-7.8685737,-8.804203,18
9.983545,3.063026,4
2.53085,-8.755667,20
11.522845,-7.448933,1
3.090882,17.834652,8
-8.868947,1.4280821,17
10.284612,-2.4305594,10
-2.1637537,3.378005,7
15.0815935,3.755264,4
-2.9325154,7.5310073,5
10.11875,3.086416,4
-7.2489886,-0.91780835,7
-3.452307,7.766382,5
15.72949,-10.614969,1
2.6248455,9.957362,13
1.002094,-7.298878,20
16.539982,13.086969,16
-8.644472,1.6875026,17
-2.8756442,-5.612347,20
19.28198,6.100731,4
-1.4300525,-0.7044048,7
12.749864,21.086546,3
-3.438516,23.721502,2
16.189709,-0.473703,10
18.150541,7.3515735,0
13.353901,-5.8799443,1
-0.6444293,-0.41225517,7
-5.513772,-9.109457,18
-2.960855,3.8418322,7
11.928718,-1.8215278,10
14.357799,-10.32226,1
-4.355802,7.9953403,5
-8.085777,1.8955582,17
-6.8925557,17.525375,9
6.9838824,0.30297914,4
11.94515,-7.0201554,1
-5.226909,-0.8316145,7
15.278083,13.448105,16
16.115763,13.262787,16
11.02716,15.783511,3
-8.982759,11.137497,11
-6.415496,-8.655203,18
-9.25321,10.914385,11
10.19436,3.1250484,4
6.920254,18.452484,6
4.442412,22.340166,6
1.9198053,7.9285703,13
13.1189165,-10.073147,1
-1.2233087,-11.862591,19
-10.420237,8.269104,15
-2.652879,-0.8803927,7
19.243727,5.4584255,4
17.852194,-4.7777596,12
-1.2978592,16.244827,2
-2.4810789,-0.86729187,7
7.325504,8.31572,0
3.0554574,18.151882,8
-1.749717,-11.692271,19
-5.6946673,-8.986438,18
7.101755,-6.71105,14
-1.1953262,18.55159,2
13.255295,-1.4332814,10
-9.073332,11.063363,11
-11.547315,9.195719,15
-0.21089609,-6.70871,20
2.5311947,10.388695,13
-0.79988897,-6.4720273,20
10.854503,13.067574,3
-4.2399797,-10.061939,18
12.679943,8.131574,0
0.2607108,-6.930568,20
17.528646,7.7008085,0
12.455097,12.724932,3
-0.01925187,-6.795311,20
1.0362495,-7.320351,20
-5.5504274,-9.081984,18
-6.0142417,14.52514,9
10.045259,-2.5227082,10
-3.4144528,7.757859,5
18.128054,7.3708344,0
12.875957,20.811954,3
-6.415337,-0.9418389,7
0.8897549,6.7619696,13
16.853407,4.1119905,4
14.845636,3.7214134,4
-4.902377,-9.573191,18
-0.9645702,-6.392075,20
10.006531,3.0727174,4
3.9095104,22.143227,6
-0.35540593,-0.26824805,7
9.085898,2.753535,4
6.762303,19.388283,6
-1.9095165,14.20393,2
12.61285,-6.4646273,1
11.049201,7.8178997,0
7.4570723,-3.8641808,14
18.691555,-4.21561,12
-1.3457866,15.903924,2
2.77669,-9.198254,20
11.522787,3.3775876,4
-4.688833,8.032767,5
2.7803118,-9.210637,20
-1.8132479,14.365467,2
-1.2322263,-11.857451,19
13.532682,-1.3574829,10
-5.231501,-0.8335467,7
2.4671955,-8.645194,20
16.316301,-10.760654,1
-5.9818497,14.491335,9
15.058576,8.003941,0
-7.3758254,7.703323,5
1.3799351,-7.556034,20
7.01387,1.2076732,4
-3.0291164,3.8920386,7
-10.891312,8.581098,15
-4.3338985,-0.83483857,7
3.1848662,17.509762,8
15.380603,-1.0045639,10
11.083083,-8.17812,1
-2.896143,-0.89608467,7
12.594278,3.5261686,4
2.0460079,11.338726,13
-3.6076293,7.7721148,5
8.602,2.5509539,4
-8.022734,1.8691506,17
-8.522652,1.745667,17
11.283632,-9.120031,1
5.6331434,21.826899,6
-6.9190426,17.48986,9
6.654409,19.96787,6
-8.504557,1.7606753,17
-6.328358,14.861562,9
2.384236,8.672778,13
1.4336812,-7.594595,20
6.744581,19.47172,6
-2.3952348,3.5045772,7
12.295339,21.976734,3
13.0750065,8.101808,0
15.654347,13.389477,16
-4.6715918,-0.8390633,7
-1.0439748,-11.852094,19
6.6499467,19.985094,6
-6.89242,15.696344,9
15.999149,8.014148,0
5.2410808,22.135458,6
8.093205,2.3130517,4
13.485016,-5.782733,1
16.0141,8.013327,0
11.331232,3.3345928,4
-8.010603,-8.904565,18
13.504874,8.071581,0
17.340193,12.516585,16
-10.020979,8.029412,15
1.2313597,7.0503497,13
7.037526,18.246176,6
8.054956,-3.4483767,14
2.6126685,9.958071,13
7.1155214,-6.765108,14
11.284354,7.8874016,0
-11.731659,9.450645,15
0.84578073,-7.2039223,20
-7.670276,-0.815753,7
14.150561,8.033843,0
-6.501858,15.074064,9
-5.6699486,8.03165,5
-6.41437,-0.9398549,7
-10.443462,8.288051,15
18.327059,4.5585704,4
11.26991,-9.107552,1
15.82543,-0.7736606,10
10.934164,7.7891636,0
-1.1658237,19.202892,2
6.7298145,-5.3551292,14
18.745861,-4.166042,12
-2.4571486,13.367568,2
-2.594003,-5.6490717,20
-3.2806017,7.7108483,5
-2.4877994,13.344857,2
13.905292,-1.3464007,10
11.316903,-9.184124,1
8.04776,17.036182,6
7.0299745,1.2429148,4
3.3147273,17.25973,8
6.9258456,18.469072,6
-9.12339,0.3293355,17
-7.0725093,17.17705,9
-11.6762495,9.343753,15
0.0035482326,-6.8140817,20
11.100904,15.951796,3
10.67351,14.943332,3
-10.343518,8.214092,15
9.076404,7.3558087,0
6.638691,20.018635,6
-5.3738203,-0.844287,7
-8.941505,-0.05815973,17
15.524446,13.423096,16
-1.1605203,19.990574,2
10.890984,15.50266,3
16.64315,-5.0380244,12
14.9482355,-1.135376,10
-6.051099,-8.793764,18
-10.890357,8.580675,15
6.817209,19.121492,6
9.240384,7.3454466,0
-6.3979797,14.94307,9
12.814365,-6.287495,1
-6.890496,17.522627,9
-8.198476,11.711057,11
-10.303054,8.189278,15
15.163903,13.459035,16
8.445356,7.41033,0
18.239525,-4.5453415,12
8.699574,7.361533,0
-1.2566545,16.980751,2
5.0989723,22.23129,6
9.661063,-2.6742258,10
11.248761,-7.808671,1
-1.2141585,18.173468,2
-1.667763,22.495214,2
5.117641,22.224983,6
10.572163,13.708069,3
-3.7945602,-0.8753908,7
6.723296,-5.326311,14
13.512247,8.070423,0
-2.7763934,-5.619091,20
15.745035,-10.619184,1
-1.2211914,20.729944,2
10.600707,14.671227,3
16.607433,-5.040249,12
-1.2467563,3.0639927,7
-3.8863003,7.868133,5
11.949497,-7.0161915,1
-1.163948,19.284393,2
18.71015,-4.1980734,12
11.828133,17.194181,3
13.065274,20.047829,3
1.4035275,7.240328,13
7.075007,-6.6630116,14
-3.6754885,-10.473702,18
-1.2535785,3.0672667,7
10.301554,7.6071234,0
1.9753288,11.39983,13
-1.3425995,3.09482,7
11.567269,-1.9532647,10
15.142928,-1.0765166,10
-1.0213718,-11.851444,19
11.470104,16.618101,3
16.98145,-10.908325,1
-8.858435,7.5679235,15
3.9407806,22.161682,6
7.356815,1.6980481,4
-2.4276407,-5.7010965,20
10.811302,7.7645845,0
7.444076,8.157593,0
16.31298,-10.75981,1
12.742585,12.893306,3
-1.4179968,21.894054,2
6.984308,18.333727,6
7.320385,-4.00334,14
4.1516685,22.254654,6
-7.6525726,-8.693757,18
10.890153,13.008543,3
-1.3495665,15.912901,2
-8.824612,1.486095,17
8.611956,7.3551326,0
13.978428,-1.3409363,10
12.871498,20.817682,3
-1.376909,-0.6887092,7
-1.2568544,16.969385,2
-2.543848,23.486578,2
19.278408,6.070084,4
-0.30409238,-0.23017378,7
-4.448328,-4.9294496,20
-1.2555062,16.969896,2
-4.591356,8.025268,5
-8.609456,1.7163981,17
-7.2419333,-0.91999114,7
14.6209345,-1.223887,10
-9.151761,0.905543,17
-3.0022233,3.8703756,7
-6.118963,-8.765347,18
-6.341,-8.681495,18
9.95334,3.0559542,4
-1.3909966,15.387642,2
10.155763,7.5584135,0
18.042145,-4.659188,12
14.073382,3.6366103,4
1.9213389,-8.031801,20
-1.6585605,-11.725903,19
-7.680836,-0.811154,7
10.088666,-2.5173368,10
10.930113,3.2703495,4
-2.130678,13.827143,2
13.48014,3.579898,4
-1.3045074,-11.861015,19
-7.256133,-0.9160304,7
-6.6155095,15.230981,9
7.782338,-3.6221921,14
-8.31761,11.620459,11
10.287413,-2.433947,10
12.5773,-6.4709377,1
-1.5696445,22.330994,2
-0.39454147,-0.29049248,7
10.604799,13.576427,3
15.37987,-0.98567796,10
6.9499054,0.3457687,4
9.88311,7.48998,0
3.8300788,22.082994,6
-4.6738048,8.031809,5
12.914275,19.133316,3
13.636467,-10.179851,1
10.022431,-2.5395098,10
16.809805,4.094648,4
17.9306,-4.737282,12
19.246546,5.462671,4
-2.5481975,23.48412,2
12.734582,-6.3513575,1
-1.2592919,-6.24228,20
-3.647072,23.49312,2
-8.10494,1.8816125,17
-3.3200843,7.724687,5
18.26738,-4.52251,12
11.019959,15.782796,3
-2.117821,13.848568,2
6.9771557,1.089427,4
11.175953,16.092276,3
13.272911,-1.4297142,10
12.748132,18.717924,3
-7.664771,-0.8259092,7
-1.2707232,16.740683,2
-5.958681,14.467626,9
-3.6190693,-10.51904,18
17.084688,-5.030835,12
1.9229721,-8.035135,20
10.458676,7.656553,0
3.078461,18.1939,8
2.5717382,9.344981,13
-2.452847,13.370925,2
6.7304325,-5.5809484,14
13.236377,-5.965546,1
-6.694977,7.839991,5
-11.638107,9.30056,15
-9.239499,10.926193,11
18.729786,-4.1822243,12
19.264004,6.158615,4
17.068165,4.156902,4
-1.4301604,21.903442,2
13.299784,-5.918944,1
-0.24317233,-6.695566,20
10.588462,14.628663,3
-1.9723395,22.9516,2
18.096699,7.395302,0
-6.502237,-0.9734932,7
9.350268,2.8763423,4
-0.7839492,-6.4798474,20
-1.8650852,3.2532518,7
-2.4831445,7.1340127,5
-1.2114465,18.253098,2
0.8255196,-7.196649,20
-5.3907375,-9.2032175,18
14.296085,13.395724,16
-1.4708005,-0.7259979,7
15.301545,13.449149,16
-4.389593,-0.83039045,7
6.9202476,0.72929436,4
-7.140046,16.726229,9
13.654089,3.596818,4
-0.0049903286,2.2207737,7
2.1436417,8.228426,13
15.322381,-10.514938,1
-7.5957646,7.6814713,5
2.423437,8.848516,13
-10.996597,8.664323,15
-1.7825993,3.2178943,7
9.367504,7.382725,0
10.258843,7.602213,0
-2.8683913,-5.6135864,20
-11.073059,8.7291565,15
7.905533,2.1802127,4
12.014913,22.487823,3
12.34209,-9.861419,1
0.7283118,6.6231976,13
-2.2078357,13.702202,2
16.85988,12.901911,16
0.63782835,0.8044452,7
18.543964,4.7002144,4
9.24202,2.8346655,4
-1.4315486,21.909,2
15.066535,-1.0980489,10
-8.680392,1.6567816,17
-9.156804,0.89906263,17
3.0793188,18.166555,8
-0.30968636,-0.2378075,7
-7.132053,16.876026,9
-2.3516698,13.483795,2
10.566803,14.528023,3
16.775484,7.953038,0
15.807924,-10.63559,1
14.88919,8.003767,0
16.991396,4.1347036,4
11.198346,16.12922,3
-2.9512725,-0.8981018,7
13.104568,-10.061814,1
0.11315166,-6.85414,20
-4.722749,-0.8358937,7
-1.5191004,22.209059,2
14.192759,-5.369904,1
2.6104355,9.9772625,13
6.9042945,-4.6683865,14
7.052258,1.2755867,4
15.807382,-0.7888518,10
12.724083,18.66984,3
-1.8117167,22.745377,2
-0.724945,-6.5063157,20
-2.845497,-11.01082,18
16.16132,8.017927,0
7.133226,-6.791523,14
2.1029546,8.1818075,13
-1.2413491,17.354582,2
0.72835404,6.624886,13
-1.232883,17.566685,2
12.543055,21.523294,3
14.781743,3.7115378,4
7.819114,2.1101093,4
-1.50513,22.168682,2
7.8017955,17.285006,6
-5.6606627,-0.8573161,7
19.341784,5.623214,4
18.2721,-4.52116,12
12.86843,-1.5374886,10
-6.6000457,-8.594441,18
9.099317,2.7668872,4
1.9953525,-8.1073065,20
-2.9355958,-0.8970155,7
-7.1316385,16.74348,9
16.193878,-0.44985333,10
-5.162153,8.043984,5
-4.4047656,8.018291,5
11.8740835,-1.8363978,10
-5.421855,-9.184772,18
17.174286,-4.985112,12
15.810422,3.8726928,4
17.279415,11.892851,16
-1.7243093,-11.708593,19
-0.6254909,2.772292,7
-4.1976686,-10.096749,18
2.500405,-8.662548,20
-4.4949813,-0.82391,7
15.303679,8.002799,0
-2.3019443,3.4459743,7
14.648572,-10.3925295,1
0.09488421,-6.845071,20
1.9764168,11.4106,13
7.451225,-3.866286,14
0.5730051,0.5946829,7
12.363555,8.149124,0
-0.5800248,2.7429461,7
12.32626,-6.6862593,1
14.5936165,-10.380003,1
-7.628003,-0.82674366,7
16.76192,12.970121,16
6.7895308,19.255835,6
13.153058,-6.0288963,1
-5.7681904,-0.875522,7
-4.0191483,7.9042735,5
12.193642,8.163369,0
-1.1747314,20.114273,2
-6.401098,7.912465,5
16.251368,13.206235,16
10.848236,-2.2372904,10
-11.739652,9.424021,15
10.850323,-2.236064,10
16.502724,13.108411,16
-7.1100473,-8.54261,18
7.224897,8.477546,0
15.439204,-10.535536,1
6.8186975,19.12951,6
-9.040581,7.61006,15
0.6116167,1.276111,7
-7.221096,7.736272,5
7.11697,-4.2614017,14
10.53068,13.877719,3
16.160309,-10.714129,1
15.473477,-10.535566,1
-0.029067578,-6.7853637,20
-8.990945,7.6087527,15
-9.228161,7.670893,15
10.936095,15.624434,3
4.771346,22.326385,6
15.227177,13.454089,16
5.1574526,22.191595,6
12.332352,12.67289,3
7.182565,18.0282,6
6.6210303,20.085901,6
12.066527,-6.9123187,1
-5.919478,14.427683,9
6.3778396,20.824434,6
-1.2029986,-0.6390169,7
-0.33244732,-0.2569115,7
7.6809397,17.415514,6
18.238548,-4.5450544,12
-7.882062,-8.819628,18
12.459179,21.696625,3
12.840134,12.930593,3
7.1361914,-6.798405,14
16.020113,13.3003435,16
-3.035221,-10.86208,18
-1.7245249,-11.709411,19
10.86739,13.051747,3
-4.5620804,-9.819343,18
16.586924,13.073343,16
1.3241193,7.1355367,13
-8.962185,11.157076,11
11.988082,22.54058,3
14.273044,13.403072,16
10.7270155,3.230122,4
-6.8918138,15.696243,9
17.518036,4.2138143,4
2.2701616,11.0125265,13
12.662652,12.836348,3
-7.4759684,7.6894226,5
11.829188,17.196571,3
-8.913094,1.360768,17
6.778543,19.320786,6
14.218108,-5.359061,1
11.251255,16.222174,3
7.1260996,-6.779666,14
-9.006413,11.119102,11
16.934196,-10.890077,1
8.262854,2.398904,4
19.293705,5.8950744,4
1.7401178,7.6827674,13
-4.743774,-9.682909,18
-7.1412296,16.750698,9
6.7842054,-5.7930117,14
-7.268198,-8.571727,18
12.341663,8.149515,0
12.375089,12.690737,3
12.676301,12.84073,3
6.897318,-4.6772003,14
-2.3962367,-0.85410315,7
-6.9987392,17.388813,9
1.6877185,-7.8077273,20
1.1313511,6.9632297,13
-1.3952864,15.405251,2
3.85815,22.10858,6
1.6582186,-7.779828,20
2.610646,9.97823,13
9.698632,-2.6490483,10
12.216991,17.803642,3
17.452923,7.739649,0
15.322732,13.458852,16
-1.3051293,3.0900822,7
6.850043,-4.798156,14
18.200975,4.488585,4
-1.1604077,19.911907,2
-0.6606624,-0.4271072,7
10.8379755,7.7604704,0
1.8584151,7.8502607,13
-9.074676,11.061094,11
-3.0673428,-0.8940019,7
17.857746,4.328923,4
10.829373,15.37862,3
-3.1475346,-0.89275426,7
3.0824146,17.862467,8
7.9415646,7.6531706,0
13.01985,20.23394,3
-6.9844866,17.404434,9
11.837379,22.7639,3
12.409398,-9.885642,1
13.184349,-10.101485,1
-6.8839126,17.514967,9
-1.2289822,-6.260397,20
-2.5033214,23.45495,2
-3.4611614,-0.8852399,7
0.5750925,0.58207047,7
2.686204,-9.0449095,20
18.108652,7.386847,0
13.0525055,-10.051835,1
-1.7967411,22.723389,2
-1.3600918,15.743871,2
1.7497891,-7.866858,20
6.926563,0.39871842,4
11.113028,-8.103725,1
11.546914,-9.417545,1
-2.6243038,23.541492,2
7.694844,17.399666,6
17.784365,4.3048816,4
-4.212083,-5.1321588,20
-1.3980398,21.718046,2
6.7374587,-5.5929985,14
-9.870444,7.9604034,15
-4.2386246,-10.06349,18
-8.257175,1.8415067,17
14.287368,13.405988,16
